zone_geo,IVG_HOSP_INS,IVG_HOSP_MED,IVG_HOSP_INC,IVG_CAB,IVG_CEN,TOT_IVG,TAUX_rec,annee,IVG_INST,part_anesth,PART_IVG_TARD,NB_IVG_TARD,Unnamed: 4,Unnamed: 5,IVG_HORS_ZONE,CAB_GO,CAB_MG,CAB_SF,CAB_AUT,TELE_GO,TELE_MG,TELE_SF,TELE_AUT,AGE_INF_18,AGE_18&19,AGE_20_24,AGE_25_29,AGE_30_34,AGE_35_39,AGE_40&plus,IVG_GO,IVG_MG,IVG_SF,IVG_AUT,Unnamed: 6
Val-d'Oise,1153.0,2366.0,40.0,2465.0,212.0,6236.0,"20,65892564",2023.0,853.0,"95,1","5,5",343.0,,,"31,6",28.0,12.0,9.0,0.0,,2.0,,2.0,119.0,294.0,1340.0,1468.0,1447.0,1035.0,525.0,1181,340,586,NC,
Val-d'Oise,1142.0,1977.0,35.0,3325.0,193.0,6672.0,"22,01435288",2024.0,932.0,"91,5","5,0",336.0,,,"25,6",31.0,9.0,10.0,,,2.0,,5.0,142.0,298.0,1438.0,1566.0,1475.0,1197.0,547.0,2170,278,1049,NC,
Val-de-Marne,2285.0,1129.0,20.0,1929.0,250.0,5613.0,"16,62003109",2016.0,1384.0,"99,8","6,5",363.0,,,"43,8",50.0,17.0,,1.0,,,,,160.0,298.0,1267.0,1456.0,1125.0,874.0,423.0,1152,291,0,NC,
Val-de-Marne,2219.0,1272.0,45.0,2107.0,294.0,5937.0,"17,49727388",2017.0,1250.0,"99,5","5,5",324.0,,,"44,4",41.0,14.0,1.0,1.0,,,,,151.0,306.0,1294.0,1508.0,1271.0,966.0,433.0,1218,308,NC,NC,
Val-de-Marne,2106.0,1178.0,126.0,2419.0,317.0,6146.0,"18,00571871",2018.0,1177.0,"98,7","5,5",341.0,,,"44,3",45.0,16.0,2.0,1.0,,,,,161.0,349.0,1273.0,1527.0,1392.0,994.0,441.0,1418,324,NC,NC,
Val-de-Marne,2153.0,1534.0,37.0,2490.0,344.0,6558.0,"19,23195355",2019.0,1206.0,"98,8","5,9",384.0,,,"45,7",39.0,13.0,4.0,1.0,,,,,200.0,316.0,1359.0,1614.0,1519.0,1059.0,489.0,1310,261,57,NC,
Val-de-Marne,1792.0,1569.0,31.0,2283.0,409.0,6084.0,"17,89738129",2020.0,968.0,"96,1","5,3",322.0,,,"40,9",34.0,13.0,4.0,1.0,1.0,2.0,,1.0,161.0,274.0,1280.0,1467.0,1386.0,1008.0,500.0,1288,204,216,NC,
Val-de-Marne,1614.0,1534.0,33.0,2673.0,434.0,6288.0,"18,31410081",2021.0,784.0,"97,7","4,3",269.0,,,"42,7",33.0,16.0,7.0,1.0,2.0,,,2.0,164.0,296.0,1298.0,1498.0,1441.0,1040.0,540.0,1341,391,408,NC,
Val-de-Marne,1583.0,1624.0,35.0,2823.0,579.0,6644.0,"19,20142421",2022.0,780.0,"99,5","5,7",376.0,,,"40,8",36.0,15.0,11.0,,1.0,1.0,,,123.0,334.0,1453.0,1576.0,1480.0,1112.0,554.0,1333,540,488,0,
Val-de-Marne,1479.0,1576.0,71.0,3013.0,575.0,6714.0,"19,34953961",2023.0,733.0,"98,4","5,3",355.0,,,"40,7",40.0,23.0,15.0,0.0,,1.0,,4.0,115.0,275.0,1442.0,1653.0,1495.0,1199.0,522.0,1360,680,633,NC,
Val-de-Marne,1417.0,1658.0,66.0,3646.0,538.0,7325.0,"21,0638616",2024.0,670.0,"98,8","5,0",366.0,,,"37,3",37.0,24.0,20.0,,2.0,2.0,,1.0,141.0,344.0,1604.0,1789.0,1568.0,1267.0,602.0,1441,717,1134,NC,
Var,1332.0,2101.0,11.0,587.0,5.0,4036.0,"19,598988",2016.0,1251.0,"99,3","6,1",246.0,,,"12,9",15.0,11.0,,0.0,,,,,145.0,292.0,935.0,930.0,817.0,599.0,314.0,343,203,0,0,
Var,1276.0,2049.0,149.0,636.0,2.0,4112.0,"20,03429997",2017.0,1175.0,"99,6","6,2",255.0,,,"13,5",12.0,10.0,2.0,0.0,,,,,135.0,263.0,948.0,947.0,850.0,660.0,296.0,339,265,NC,0,
Var,1129.0,1986.0,396.0,1024.0,7.0,4542.0,"22,20679405",2018.0,1000.0,"99,5","5,3",242.0,,,"14,2",14.0,10.0,5.0,0.0,,,,,161.0,240.0,961.0,1058.0,993.0,777.0,344.0,577,415,58,0,
Var,1081.0,2103.0,59.0,1374.0,1.0,4618.0,"22,54090359",2019.0,976.0,"99,5","4,6",211.0,,,"14,3",17.0,10.0,16.0,0.0,,,,,138.0,271.0,1019.0,1006.0,986.0,825.0,366.0,654,361,375,0,
Var,797.0,1833.0,16.0,1554.0,77.0,4277.0,"20,89225614",2020.0,718.0,"99,3","3,8",163.0,,,13,21.0,12.0,21.0,0.0,3.0,4.0,,3.0,119.0,250.0,903.0,977.0,965.0,712.0,319.0,614,299,631,NC,
Var,668.0,1631.0,8.0,2018.0,153.0,4478.0,"21,84496805",2021.0,581.0,"99,5","3,3",148.0,,,"15,2",21.0,11.0,25.0,0.0,,2.0,,1.0,128.0,229.0,912.0,967.0,1064.0,785.0,375.0,641,289,992,NC,
Var,734.0,1727.0,21.0,2251.0,77.0,4810.0,"23,32686712",2022.0,635.0,"99,5","3,9",188.0,,,"14,4",19.0,10.0,33.0,,1.0,2.0,,4.0,146.0,264.0,996.0,1024.0,1058.0,847.0,436.0,832,287,1076,NC,
